SEXUA,IZENA,ABIZENA,ADINA,ADIN TARTEA,ESKARMENTUA,ALTUERA,MASA,MAILA,ESTILOA,PRESA
Emakumea,ALICIA,SANZ,37.0,Heldua,1.0,162.0,80.33,Hasiberria,Nahasia,Sloper
Emakumea,MARIA,MOLINA,21.0,Gaztea,8.0,169.0,77.1,Erdikoa,Nahasia,Crimp
Gizona,JOSE MARIA,LOPEZ,16.0,Nerabea,0.0,162.0,67.48,Hasiberria,Dinamikoa,Pinch
Gizona,FERNANDO,FERNANDEZ,46.0,Heldua,1.0,171.0,76.95,Hasiberria,Nahasia,Sloper
Gizona,JOSE LUIS,CANO,15.0,Nerabea,6.0,165.0,52.29,Profesionala,Estatikoa,Jug
Gizona,PEDRO,CRUZ,25.0,Gaztea,10.0,183.0,61.24,Aurreratua,Dinamikoa,Crimp
Emakumea,MARIA JOSE,GIL,30.0,Gaztea,1.0,177.0,61.48,Hasiberria,Nahasia,Mono
Emakumea,ANA,CALVO,19.0,Nerabea,9.0,168.0,62.77,Profesionala,Estatikoa,Jug
Gizona,ANTONIO,VIDAL,34.0,Gaztea,4.0,162.0,78.25,Erdikoa,Dinamikoa,Edge
Gizona,GORKA,NAVARRO,33.0,Gaztea,9.0,179.0,79.88,Erdikoa,Nahasia,Pinch
Emakumea,ANA BELEN,REYES,17.0,Nerabea,2.0,161.0,63.23,Erdikoa,Nahasia,Crimp
Gizona,FERNANDO,DOMINGUEZ,17.0,Nerabea,13.0,168.0,62.9,Aurreratua,Nahasia,Jug
Emakumea,MARIA NIEVES,HERRERO,35.0,Gaztea,8.0,162.0,67.92,Profesionala,Nahasia,Jug
Emakumea,MARIA MERCEDES,PARRA,14.0,Nerabea,0.0,159.0,54.26,Hasiberria,Estatikoa,Mono
Emakumea,MARIA ISABEL,IBAÑEZ,16.0,Nerabea,1.0,165.0,48.02,Hasiberria,Dinamikoa,Crimp
Gizona,JOSE RAMON,CASTRO,34.0,Gaztea,5.0,180.0,63.05,Profesionala,Dinamikoa,Crimp
Gizona,JOSE MARIA,DOMINGUEZ,46.0,Heldua,4.0,168.0,81.98,Erdikoa,Nahasia,Volume
Emakumea,MARIA CARMEN,LOZANO,23.0,Gaztea,3.0,171.0,71.94,Aurreratua,Nahasia,Mono
Gizona,VICENTE,PASCUAL,17.0,Nerabea,7.0,169.0,63.13,Aurreratua,Nahasia,Sloper
Gizona,JESUS,DIEZ,32.0,Gaztea,5.0,168.0,70.22,Erdikoa,Estatikoa,Edge
Emakumea,AINHOA,NAVARRO,30.0,Gaztea,9.0,170.0,74.77,Aurreratua,Estatikoa,Sloper
Emakumea,MARIA,ARIAS,26.0,Gaztea,3.0,161.0,64.45,Aurreratua,Dinamikoa,Sloper
Emakumea,MARTA,MOLINA,29.0,Gaztea,0.0,163.0,68.69,Hasiberria,Estatikoa,Crack
Emakumea,ISABEL,MORA,24.0,Gaztea,3.0,174.0,67.21,Hasiberria,Dinamikoa,Sloper
Emakumea,MARIA JESUS,MOLINA,28.0,Gaztea,3.0,165.0,73.31,Erdikoa,Estatikoa,Jug
Gizona,RAUL,CALVO,28.0,Gaztea,3.0,164.0,70.73,Aurreratua,Nahasia,Pinch
Gizona,JAVIER,SERRANO,20.0,Nerabea,4.0,173.0,59.45,Aurreratua,Nahasia,Pinch
Gizona,DANIEL,SAEZ,50.0,Heldua,2.0,180.0,85.46,Erdikoa,Dinamikoa,Sloper
Gizona,SANTIAGO,PARRA,26.0,Gaztea,10.0,179.0,74.82,Aurreratua,Nahasia,Crimp
Gizona,SANTIAGO,CORTES,35.0,Gaztea,5.0,163.0,72.0,Aurreratua,Estatikoa,Jug
Gizona,LUIS,MOLINA,18.0,Nerabea,2.0,183.0,64.71,Aurreratua,Estatikoa,Pinch
Emakumea,NEREA,MEDINA,35.0,Gaztea,4.0,152.0,76.33,Erdikoa,Estatikoa,Sloper
Gizona,FRANCISCO,ORTIZ,51.0,Heldua,5.0,175.0,83.36,Erdikoa,Estatikoa,Crimp
Emakumea,NURIA,ALVAREZ,20.0,Nerabea,11.0,170.0,58.35,Erdikoa,Nahasia,Crack
Emakumea,MARIA ISABEL,DOMINGUEZ,35.0,Gaztea,4.0,165.0,79.08,Erdikoa,Dinamikoa,Crimp
Emakumea,RAQUEL,RODRIGUEZ,33.0,Gaztea,1.0,162.0,59.51,Erdikoa,Dinamikoa,Crimp
Gizona,EDUARDO,RODRIGUEZ,25.0,Gaztea,1.0,175.0,63.59,Hasiberria,Nahasia,Crimp
Gizona,CARLOS,CRESPO,55.0,Heldua,2.0,171.0,75.8,Erdikoa,Nahasia,Sloper
Gizona,JUAN,CASTILLO,26.0,Gaztea,3.0,170.0,68.33,Erdikoa,Nahasia,Crimp
Gizona,ALFONSO,PASTOR,48.0,Heldua,3.0,178.0,81.92,Aurreratua,Dinamikoa,Edge
Emakumea,AMPARO,TORRES,30.0,Gaztea,4.0,169.0,84.92,Aurreratua,Dinamikoa,Pinch
Emakumea,LUCIA,MOYA,55.0,Heldua,5.0,170.0,77.86,Aurreratua,Dinamikoa,Crimp
Emakumea,MARIA ANGELES,GALLEGO,21.0,Gaztea,2.0,175.0,81.77,Erdikoa,Estatikoa,Crack
Gizona,JOSE ANTONIO,MORENO,24.0,Gaztea,0.0,173.0,70.87,Hasiberria,Dinamikoa,Crimp
Gizona,ENEKO,PARRA,25.0,Gaztea,2.0,187.0,88.72,Erdikoa,Nahasia,Pinch
Gizona,ANDRES,NAVARRO,54.0,Heldua,0.0,177.0,81.03,Hasiberria,Dinamikoa,Crimp
Emakumea,SUSANA,GUTIERREZ,19.0,Nerabea,10.0,153.0,52.78,Elitea,Estatikoa,Sloper
Gizona,JORGE,FERNANDEZ,51.0,Heldua,1.0,165.0,89.06,Hasiberria,Estatikoa,Jug
Emakumea,ANGELES,PARRA,18.0,Nerabea,7.0,159.0,59.77,Profesionala,Dinamikoa,Sloper
Gizona,EMILIO,ROMERO,14.0,Nerabea,3.0,172.0,68.21,Hasiberria,Nahasia,Jug
Gizona,JOSE ANTONIO,GIL,18.0,Nerabea,3.0,162.0,61.93,Erdikoa,Dinamikoa,Edge
Gizona,MARCOS,RAMIREZ,20.0,Nerabea,0.0,169.0,61.78,Aurreratua,Estatikoa,Crimp
Emakumea,ITZIAR,MORALES,18.0,Nerabea,3.0,159.0,58.76,Erdikoa,Estatikoa,Crimp
Gizona,IGNACIO,SAEZ,27.0,Gaztea,8.0,181.0,75.79,Elitea,Nahasia,Sloper
Emakumea,MARIA ISABEL,ROMERO,54.0,Heldua,8.0,151.0,73.87,Erdikoa,Nahasia,Pinch
Emakumea,PILAR,RUIZ,43.0,Heldua,2.0,161.0,77.05,Hasiberria,Estatikoa,Volume
Emakumea,DOLORES,FERNANDEZ,17.0,Nerabea,1.0,155.0,45.77,Erdikoa,Nahasia,Jug
Emakumea,ANA ISABEL,CABRERA,20.0,Nerabea,8.0,165.0,62.96,Erdikoa,Nahasia,Pocket
Gizona,JOSE,HERNANDEZ,14.0,Nerabea,6.0,175.0,72.06,Profesionala,Estatikoa,Jug
Emakumea,RAQUEL,NAVARRO,45.0,Heldua,1.0,167.0,74.13,Hasiberria,Dinamikoa,Edge
Emakumea,ANGELES,VEGA,32.0,Gaztea,8.0,173.0,84.1,Profesionala,Dinamikoa,Sloper
Gizona,JUAN CARLOS,CALVO,16.0,Nerabea,2.0,164.0,60.17,Aurreratua,Dinamikoa,Jug
Emakumea,NEREA,CAMPOS,52.0,Heldua,17.0,158.0,84.4,Profesionala,Nahasia,Crimp
Gizona,ANTONIO,MARTINEZ,32.0,Gaztea,0.0,188.0,74.57,Hasiberria,Estatikoa,Pinch
Gizona,JOSE RAMON,MORALES,32.0,Gaztea,5.0,167.0,80.03,Erdikoa,Estatikoa,Sloper
Gizona,RUBEN,GALLARDO,40.0,Heldua,6.0,175.0,78.99,Aurreratua,Estatikoa,Pocket
Emakumea,ROSA MARIA,JIMENEZ,29.0,Gaztea,7.0,168.0,58.09,Profesionala,Dinamikoa,Crimp
Emakumea,MARTA,PASTOR,33.0,Gaztea,7.0,164.0,69.87,Erdikoa,Nahasia,Crimp
Emakumea,ANA,GIMENEZ,33.0,Gaztea,3.0,150.0,71.5,Erdikoa,Nahasia,Crimp
Emakumea,MARIA DOLORES,IGLESIAS,47.0,Heldua,2.0,157.0,74.84,Aurreratua,Estatikoa,Pocket
Emakumea,ANA BELEN,FUENTES,34.0,Gaztea,2.0,157.0,55.28,Erdikoa,Dinamikoa,Sloper
Emakumea,ELENA,DELGADO,41.0,Heldua,4.0,160.0,82.0,Erdikoa,Estatikoa,Pinch
Emakumea,RAQUEL,LOZANO,55.0,Heldua,25.0,160.0,73.77,Aurreratua,Estatikoa,Jug
Gizona,ADRIAN,MARIN,53.0,Heldua,5.0,174.0,79.58,Aurreratua,Dinamikoa,Crimp
Gizona,MANUEL,MORENO,28.0,Gaztea,14.0,174.0,72.55,Aurreratua,Dinamikoa,Volume
Gizona,CARLOS,MARQUEZ,44.0,Heldua,1.0,182.0,84.65,Erdikoa,Nahasia,Crimp
Emakumea,NEREA,SAEZ,16.0,Nerabea,0.0,159.0,65.07,Hasiberria,Estatikoa,Jug
Gizona,LUIS,MONTERO,35.0,Gaztea,2.0,173.0,89.26,Profesionala,Dinamikoa,Crimp
Gizona,JUAN,SANTIAGO,17.0,Nerabea,6.0,179.0,51.26,Aurreratua,Nahasia,Sloper
Gizona,ALBERTO,MORA,23.0,Gaztea,9.0,193.0,73.23,Elitea,Dinamikoa,Edge
Emakumea,MARIA PILAR,CABRERA,51.0,Heldua,31.0,173.0,75.18,Aurreratua,Nahasia,Sloper
Emakumea,YOLANDA,RUBIO,29.0,Gaztea,1.0,160.0,62.1,Hasiberria,Nahasia,Edge
Gizona,JESUS,HERNANDEZ,19.0,Nerabea,8.0,174.0,60.42,Aurreratua,Nahasia,Sloper
Emakumea,MARIA CARMEN,VEGA,34.0,Gaztea,22.0,180.0,56.58,Aurreratua,Nahasia,Crimp
Gizona,JOSE ANTONIO,DOMINGUEZ,33.0,Gaztea,4.0,195.0,69.15,Erdikoa,Nahasia,Pinch
Emakumea,CONCEPCION,GIMENEZ,30.0,Gaztea,1.0,161.0,68.71,Hasiberria,Nahasia,Jug
Emakumea,MARIA ANGELES,ARIAS,53.0,Heldua,39.0,165.0,75.67,Aurreratua,Estatikoa,Crimp
Emakumea,ANTONIA,IBAÑEZ,39.0,Heldua,1.0,171.0,74.86,Erdikoa,Nahasia,Mono
Emakumea,MARIA ISABEL,ARIAS,25.0,Gaztea,7.0,166.0,83.83,Aurreratua,Dinamikoa,Jug
Gizona,ALFONSO,LORENZO,26.0,Gaztea,1.0,162.0,70.39,Hasiberria,Dinamikoa,Crimp
Emakumea,IRENE,MONTERO,34.0,Gaztea,3.0,167.0,78.17,Aurreratua,Nahasia,Edge
Gizona,AITOR,MARTINEZ,29.0,Gaztea,1.0,184.0,78.66,Hasiberria,Dinamikoa,Crack
Gizona,JON,VAZQUEZ,35.0,Gaztea,0.0,180.0,72.38,Hasiberria,Estatikoa,Edge
Gizona,FRANCISCO JOSE,PASCUAL,21.0,Gaztea,4.0,165.0,75.09,Erdikoa,Dinamikoa,Crimp
Gizona,JAVIER,MARTIN,52.0,Heldua,3.0,172.0,86.71,Aurreratua,Estatikoa,Jug
Gizona,JOSE LUIS,DOMINGUEZ,30.0,Gaztea,4.0,182.0,77.47,Erdikoa,Nahasia,Edge
Gizona,SANTIAGO,ORTIZ,14.0,Nerabea,4.0,184.0,64.78,Erdikoa,Dinamikoa,Mono
Gizona,PEDRO,CABRERA,21.0,Gaztea,4.0,168.0,69.99,Aurreratua,Estatikoa,Pinch
Gizona,MARKEL,DIEZ,26.0,Gaztea,10.0,177.0,68.42,Profesionala,Nahasia,Pinch
Emakumea,ROSARIO,SUAREZ,19.0,Nerabea,3.0,164.0,62.74,Erdikoa,Estatikoa,Crimp
Gizona,LUIS,SANTIAGO,34.0,Gaztea,0.0,190.0,88.34,Hasiberria,Nahasia,Crimp
Emakumea,ANE,DIEZ,44.0,Heldua,5.0,156.0,74.77,Erdikoa,Nahasia,Mono
Emakumea,MARIA DOLORES,ORTEGA,43.0,Heldua,0.0,164.0,78.52,Aurreratua,Estatikoa,Edge
Gizona,JUAN JOSE,MARIN,26.0,Gaztea,7.0,172.0,65.67,Erdikoa,Dinamikoa,Pinch
Gizona,MARIO,HERRERO,21.0,Gaztea,4.0,188.0,75.26,Hasiberria,Estatikoa,Jug
Emakumea,CONSUELO,MEDINA,14.0,Nerabea,4.0,164.0,53.09,Profesionala,Nahasia,Crimp
Gizona,JOSE MARIA,NUÑEZ,15.0,Nerabea,2.0,167.0,66.82,Hasiberria,Estatikoa,Jug
Gizona,JOSU,DURAN,33.0,Gaztea,5.0,168.0,72.99,Erdikoa,Estatikoa,Pocket
Gizona,JAVIER,GARCIA,29.0,Gaztea,1.0,163.0,65.23,Erdikoa,Dinamikoa,Jug
Gizona,ROBERTO,LORENZO,15.0,Nerabea,1.0,178.0,59.95,Erdikoa,Dinamikoa,Pinch
Gizona,ALBERTO,AGUILAR,19.0,Nerabea,0.0,160.0,58.94,Hasiberria,Estatikoa,Crimp
Emakumea,MARIA LLANOS,SANZ,15.0,Nerabea,2.0,166.0,61.21,Aurreratua,Estatikoa,Pinch
Gizona,EMILIO,GARCIA,23.0,Gaztea,9.0,191.0,71.37,Erdikoa,Estatikoa,Jug
Gizona,CARLOS,GALLEGO,31.0,Gaztea,2.0,170.0,72.32,Aurreratua,Dinamikoa,Sloper
Emakumea,MARIA BEGOÑA,GARCIA,15.0,Nerabea,7.0,156.0,59.45,Aurreratua,Dinamikoa,Mono
Gizona,PABLO,DELGADO,15.0,Nerabea,4.0,165.0,54.1,Erdikoa,Estatikoa,Sloper
Gizona,ANGEL,SANTOS,20.0,Nerabea,10.0,174.0,58.93,Aurreratua,Nahasia,Edge
Emakumea,IRENE,SAEZ,28.0,Gaztea,6.0,158.0,73.33,Aurreratua,Dinamikoa,Sloper
Gizona,ANGEL,LEON,20.0,Nerabea,6.0,168.0,61.56,Profesionala,Nahasia,Crimp
Gizona,DIEGO,AGUILAR,24.0,Gaztea,4.0,167.0,74.78,Aurreratua,Dinamikoa,Mono
Gizona,EMILIO,GUTIERREZ,19.0,Nerabea,10.0,175.0,63.65,Elitea,Nahasia,Sloper
Gizona,JULIAN,CORTES,27.0,Gaztea,14.0,161.0,78.6,Profesionala,Estatikoa,Sloper
Gizona,JAVIER,NAVARRO,14.0,Nerabea,4.0,182.0,68.86,Erdikoa,Nahasia,Edge
Gizona,MIKEL,NAVARRO,26.0,Gaztea,2.0,193.0,71.78,Aurreratua,Estatikoa,Jug
Gizona,JOSE MANUEL,BLANCO,17.0,Nerabea,4.0,181.0,63.78,Erdikoa,Dinamikoa,Crimp
Gizona,FERNANDO,IGLESIAS,32.0,Gaztea,1.0,166.0,73.46,Hasiberria,Nahasia,Sloper
Gizona,JOSE RAMON,GIMENEZ,37.0,Heldua,7.0,170.0,83.68,Aurreratua,Dinamikoa,Crimp
Gizona,JOAQUIN,MORA,51.0,Heldua,1.0,171.0,76.31,Aurreratua,Nahasia,Pinch
Emakumea,MARIA VICTORIA,RAMOS,31.0,Gaztea,2.0,167.0,69.97,Erdikoa,Dinamikoa,Mono
Emakumea,MANUELA,MENDEZ,33.0,Gaztea,19.0,155.0,63.86,Aurreratua,Dinamikoa,Sloper
Emakumea,MARIA LUISA,GALLEGO,40.0,Heldua,0.0,171.0,75.15,Hasiberria,Dinamikoa,Sloper
Gizona,PEDRO,PASCUAL,19.0,Nerabea,2.0,177.0,63.19,Erdikoa,Estatikoa,Mono
Gizona,CARLOS,CABRERA,35.0,Gaztea,4.0,191.0,78.82,Erdikoa,Nahasia,Crimp
Gizona,RUBEN,RUIZ,16.0,Nerabea,2.0,182.0,70.35,Erdikoa,Nahasia,Crimp
Gizona,JON,CRUZ,50.0,Heldua,0.0,172.0,80.98,Hasiberria,Estatikoa,Crimp
Gizona,PEDRO,ALVAREZ,22.0,Gaztea,3.0,174.0,82.74,Aurreratua,Nahasia,Sloper
Gizona,MIGUEL ANGEL,CASTILLO,29.0,Gaztea,4.0,167.0,75.68,Aurreratua,Estatikoa,Crimp
Gizona,ANDER,ROMERO,17.0,Nerabea,6.0,169.0,63.5,Aurreratua,Estatikoa,Pocket
Gizona,DANIEL,ORTEGA,50.0,Heldua,5.0,174.0,84.21,Aurreratua,Estatikoa,Sloper
Gizona,DAVID,MARQUEZ,35.0,Gaztea,2.0,181.0,72.79,Erdikoa,Dinamikoa,Mono
Gizona,RAFAEL,GARRIDO,30.0,Gaztea,25.0,182.0,77.55,Aurreratua,Dinamikoa,Crimp
Emakumea,PAULA,MARTIN,24.0,Gaztea,1.0,161.0,74.43,Hasiberria,Dinamikoa,Sloper
Emakumea,MARIA LUISA,CAMPOS,26.0,Gaztea,1.0,153.0,73.14,Erdikoa,Estatikoa,Crimp
Gizona,MIGUEL,SUAREZ,16.0,Nerabea,7.0,172.0,61.94,Aurreratua,Nahasia,Sloper
Gizona,JUAN ANTONIO,CRUZ,15.0,Nerabea,2.0,163.0,78.51,Aurreratua,Dinamikoa,Crimp
Gizona,JUAN,CRESPO,18.0,Nerabea,2.0,175.0,50.67,Erdikoa,Dinamikoa,Volume
Emakumea,MARIA PILAR,GIMENEZ,32.0,Gaztea,3.0,178.0,83.45,Aurreratua,Nahasia,Sloper
Emakumea,AMAIA,PASTOR,31.0,Gaztea,7.0,159.0,75.63,Aurreratua,Estatikoa,Jug
Emakumea,MARIA BEGOÑA,HIDALGO,18.0,Nerabea,2.0,165.0,60.63,Erdikoa,Dinamikoa,Pinch
Emakumea,ITZIAR,DOMINGUEZ,24.0,Gaztea,5.0,157.0,83.43,Erdikoa,Estatikoa,Mono
Emakumea,ANA MARIA,SOTO,54.0,Heldua,1.0,150.0,72.81,Hasiberria,Nahasia,Pinch
Emakumea,MARIA MERCEDES,GALLARDO,42.0,Heldua,1.0,165.0,70.83,Hasiberria,Dinamikoa,Crimp
Emakumea,NEREA,FERRER,24.0,Gaztea,2.0,156.0,74.49,Aurreratua,Estatikoa,Pinch
Emakumea,ANTONIA,SERRANO,15.0,Nerabea,0.0,158.0,57.99,Hasiberria,Estatikoa,Jug
Gizona,JUAN JOSE,DURAN,15.0,Nerabea,7.0,161.0,52.97,Erdikoa,Estatikoa,Jug
Emakumea,CRISTINA,AGUILAR,35.0,Gaztea,4.0,161.0,64.43,Erdikoa,Estatikoa,Edge
Gizona,MIKEL,MEDINA,26.0,Gaztea,2.0,172.0,80.9,Profesionala,Nahasia,Crimp
Gizona,JESUS,PASCUAL,22.0,Gaztea,1.0,186.0,77.12,Erdikoa,Dinamikoa,Pinch
Emakumea,CARMEN,SANTOS,15.0,Nerabea,6.0,159.0,56.44,Erdikoa,Estatikoa,Sloper
Gizona,EDUARDO,SAEZ,20.0,Nerabea,9.0,172.0,61.32,Aurreratua,Dinamikoa,Pocket
Gizona,UNAI,AGUILAR,31.0,Gaztea,3.0,188.0,73.75,Hasiberria,Nahasia,Pinch
Gizona,IÑAKI,HERNANDEZ,27.0,Gaztea,1.0,161.0,75.46,Erdikoa,Dinamikoa,Sloper
Gizona,OSCAR,PASTOR,50.0,Heldua,4.0,180.0,87.43,Erdikoa,Dinamikoa,Sloper
Gizona,RAMON,SANTOS,31.0,Gaztea,2.0,170.0,82.05,Erdikoa,Dinamikoa,Pinch
Gizona,JOSU,ARIAS,22.0,Gaztea,6.0,181.0,75.16,Profesionala,Dinamikoa,Sloper
Emakumea,ANA ISABEL,GONZALEZ,35.0,Gaztea,0.0,160.0,63.66,Hasiberria,Nahasia,Pinch
Gizona,MARIO,GOMEZ,23.0,Gaztea,5.0,173.0,87.78,Erdikoa,Estatikoa,Jug
Gizona,FRANCISCO,AGUILAR,21.0,Gaztea,1.0,173.0,64.6,Hasiberria,Dinamikoa,Crimp
Gizona,DAVID,FERRER,16.0,Nerabea,12.0,166.0,52.17,Profesionala,Nahasia,Volume
Emakumea,FRANCISCA,LOPEZ,24.0,Gaztea,3.0,177.0,81.32,Aurreratua,Dinamikoa,Edge
Emakumea,ANA,MOLINA,40.0,Heldua,5.0,161.0,83.61,Erdikoa,Nahasia,Pinch
Gizona,JUAN,CRESPO,15.0,Nerabea,6.0,173.0,53.35,Profesionala,Estatikoa,Crimp
Emakumea,MERCEDES,BLANCO,49.0,Heldua,2.0,160.0,73.03,Erdikoa,Dinamikoa,Edge
Gizona,ALBERTO,LOPEZ,40.0,Heldua,2.0,186.0,81.73,Hasiberria,Dinamikoa,Pinch
Emakumea,PAULA,CARMONA,18.0,Nerabea,1.0,162.0,70.05,Hasiberria,Nahasia,Pinch
Gizona,JUAN CARLOS,SOLER,29.0,Gaztea,14.0,187.0,75.07,Aurreratua,Estatikoa,Jug
Gizona,ROBERTO,RUBIO,35.0,Gaztea,0.0,189.0,64.86,Erdikoa,Nahasia,Crimp
Gizona,JON,FLORES,23.0,Gaztea,7.0,178.0,74.46,Aurreratua,Dinamikoa,Volume
Gizona,ANGEL,MEDINA,21.0,Gaztea,5.0,162.0,79.19,Erdikoa,Estatikoa,Mono
Emakumea,MARIA,CAMPOS,52.0,Heldua,0.0,164.0,77.51,Hasiberria,Dinamikoa,Pocket
Gizona,EDUARDO,ORTEGA,45.0,Heldua,0.0,171.0,75.72,Hasiberria,Nahasia,Pocket
Emakumea,LEIRE,FERRER,17.0,Nerabea,14.0,168.0,47.72,Aurreratua,Nahasia,Pinch
Emakumea,ANDREA,CABRERA,52.0,Heldua,5.0,151.0,77.15,Profesionala,Nahasia,Edge
Gizona,SERGIO,LOPEZ,50.0,Heldua,9.0,190.0,84.27,Aurreratua,Estatikoa,Pinch
Gizona,AITOR,GALLARDO,34.0,Gaztea,9.0,182.0,76.12,Aurreratua,Estatikoa,Pinch
Emakumea,AINHOA,RAMIREZ,34.0,Gaztea,8.0,161.0,76.12,Elitea,Estatikoa,Sloper
Gizona,ENEKO,DOMINGUEZ,18.0,Nerabea,9.0,168.0,68.04,Erdikoa,Nahasia,Mono
Emakumea,ANGELES,CRESPO,43.0,Heldua,8.0,173.0,73.9,Erdikoa,Nahasia,Sloper
Emakumea,BEATRIZ,VELASCO,46.0,Heldua,5.0,170.0,73.62,Erdikoa,Nahasia,Mono
Emakumea,MARIA JOSE,HERRERA,17.0,Nerabea,0.0,166.0,62.62,Hasiberria,Estatikoa,Edge
Gizona,MANUEL,CABALLERO,20.0,Nerabea,2.0,185.0,62.05,Hasiberria,Estatikoa,Crimp
Gizona,JOAQUIN,GARCIA,15.0,Nerabea,6.0,167.0,66.33,Profesionala,Dinamikoa,Edge
Emakumea,MARIA JOSEFA,ALVAREZ,19.0,Nerabea,0.0,165.0,56.06,Hasiberria,Estatikoa,Mono
Gizona,RAMON,DOMINGUEZ,35.0,Gaztea,17.0,173.0,73.12,Aurreratua,Nahasia,Mono
Emakumea,LEIRE,ROMAN,33.0,Gaztea,4.0,150.0,74.39,Erdikoa,Nahasia,Jug
Emakumea,ANDREA,ORTIZ,22.0,Gaztea,8.0,163.0,72.12,Aurreratua,Estatikoa,Crimp
Emakumea,MARIA JOSE,PARRA,21.0,Gaztea,2.0,163.0,67.25,Aurreratua,Dinamikoa,Crimp
Emakumea,ANE,GUTIERREZ,16.0,Nerabea,4.0,161.0,50.09,Aurreratua,Dinamikoa,Sloper
Emakumea,MARIA PILAR,FLORES,26.0,Gaztea,18.0,177.0,63.48,Profesionala,Dinamikoa,Crimp
Gizona,FRANCISCO JOSE,SANCHEZ,19.0,Nerabea,4.0,175.0,51.32,Erdikoa,Dinamikoa,Jug
Gizona,GORKA,MARQUEZ,47.0,Heldua,0.0,189.0,75.83,Hasiberria,Nahasia,Jug
Gizona,JULIAN,MARQUEZ,35.0,Gaztea,4.0,190.0,78.3,Erdikoa,Estatikoa,Jug
Gizona,JULEN,CABRERA,18.0,Nerabea,0.0,173.0,56.83,Hasiberria,Estatikoa,Volume
Gizona,JOSE ANTONIO,SANCHEZ,30.0,Gaztea,2.0,189.0,71.27,Erdikoa,Dinamikoa,Pinch
Gizona,CARLOS,SOLER,34.0,Gaztea,3.0,185.0,66.36,Aurreratua,Nahasia,Sloper
Gizona,JORGE,CRESPO,32.0,Gaztea,6.0,172.0,74.04,Erdikoa,Dinamikoa,Pinch
Emakumea,ANTONIA,CRESPO,16.0,Nerabea,3.0,163.0,64.28,Erdikoa,Nahasia,Pocket
Gizona,ALVARO,MORA,20.0,Nerabea,8.0,165.0,69.91,Erdikoa,Nahasia,Jug
Gizona,MIGUEL ANGEL,SANTIAGO,14.0,Nerabea,5.0,163.0,66.48,Aurreratua,Estatikoa,Crack
Emakumea,MARIA BEGOÑA,MORALES,21.0,Gaztea,2.0,163.0,58.39,Aurreratua,Nahasia,Mono
Emakumea,ROSA,ORTEGA,25.0,Gaztea,3.0,179.0,55.02,Erdikoa,Nahasia,Mono
Emakumea,MARIA CARMEN,MENDEZ,27.0,Gaztea,18.0,175.0,70.8,Profesionala,Nahasia,Pinch
Gizona,ENRIQUE,PEÑA,29.0,Gaztea,6.0,173.0,75.48,Erdikoa,Estatikoa,Sloper
Gizona,JULIAN,MOLINA,40.0,Heldua,4.0,170.0,81.35,Aurreratua,Dinamikoa,Mono
Gizona,JOSE MIGUEL,CORTES,25.0,Gaztea,3.0,177.0,66.76,Hasiberria,Dinamikoa,Pinch
Emakumea,CRISTINA,LORENZO,34.0,Gaztea,3.0,170.0,67.47,Erdikoa,Dinamikoa,Edge
Gizona,ASIER,NAVARRO,24.0,Gaztea,16.0,186.0,81.71,Aurreratua,Estatikoa,Crack
Gizona,JAVIER,ROMAN,25.0,Gaztea,3.0,168.0,87.07,Aurreratua,Dinamikoa,Crimp
Emakumea,ROSA,JIMENEZ,25.0,Gaztea,1.0,176.0,80.71,Hasiberria,Estatikoa,Pinch
Emakumea,ANA MARIA,MEDINA,24.0,Gaztea,10.0,174.0,77.16,Erdikoa,Nahasia,Crimp
Emakumea,ELENA,GARCIA,23.0,Gaztea,0.0,172.0,78.42,Erdikoa,Dinamikoa,Mono
Gizona,ALEJANDRO,DIAZ,41.0,Heldua,1.0,170.0,88.11,Erdikoa,Dinamikoa,Crimp
Emakumea,ANGELES,SAEZ,35.0,Gaztea,6.0,180.0,62.91,Aurreratua,Dinamikoa,Pinch
Gizona,OSCAR,IGLESIAS,23.0,Gaztea,7.0,187.0,78.42,Aurreratua,Nahasia,Crimp
Gizona,JOSU,RODRIGUEZ,25.0,Gaztea,15.0,177.0,73.69,Profesionala,Nahasia,Crimp
Gizona,LUIS,NUÑEZ,19.0,Nerabea,6.0,164.0,70.15,Aurreratua,Nahasia,Jug
Gizona,ENRIQUE,RODRIGUEZ,18.0,Nerabea,5.0,175.0,61.77,Aurreratua,Nahasia,Pinch
Gizona,JUAN JOSE,MUÑOZ,22.0,Gaztea,17.0,179.0,67.38,Aurreratua,Estatikoa,Pinch
Gizona,IÑIGO,CANO,17.0,Nerabea,2.0,174.0,69.81,Aurreratua,Nahasia,Pinch
Gizona,PEDRO,BLANCO,26.0,Gaztea,1.0,168.0,79.27,Erdikoa,Dinamikoa,Mono
Gizona,JAVIER,IGLESIAS,35.0,Gaztea,6.0,164.0,65.99,Erdikoa,Estatikoa,Crimp
Gizona,PEDRO,ALVAREZ,22.0,Gaztea,2.0,178.0,89.07,Aurreratua,Dinamikoa,Pinch
Gizona,PABLO,RAMOS,16.0,Nerabea,3.0,168.0,61.61,Erdikoa,Nahasia,Pinch
Gizona,JOSE ANTONIO,NAVARRO,23.0,Gaztea,8.0,170.0,73.87,Elitea,Dinamikoa,Pinch
Emakumea,JUNE,RAMIREZ,25.0,Gaztea,2.0,161.0,73.67,Aurreratua,Nahasia,Sloper
